Date,Time,Card Nr.,Vehicle Nr.,Product,Amount,Total sum,Currency,Country,Country ISO,Fuel station
12.10.2021,04:56:31,4916637234582249,EV-3964,BIOCNG,"8,42","15,64",BGN,Bulgaria,BG,"Lake Sheridanshire, Velma Stream 7621"
30.11.2021,21:59:43,5394032774452136,EV-3964,Diesel,"29,2","259,51",PLN,Poland,PL,"Aufderharside, Kameron Creek 841"
16.05.2022,02:49:04,4887895152923325,ML-8196,Service fee,1,"465,29",DKK,Denmark,DK,"Cecilmouth, Sydnee Brook 191"
09.08.2021,10:36:00,5410117612464722,XZE-354,95 Miles,"23,51","43,96",EUR,Greece,GR,"East Alysaburgh, Sophie Extension 8834"
06.11.2021,21:18:04,2391959113930515,XZE-354,Self-service charge station,38,"13,3",EUR,Spain,ES,"Port Guadalupechester, Lillie Loaf 678"
14.10.2021,09:11:42,4716589087524,KA-6963,Diesel,"50,09","179,28",BGN,Bulgaria,BG,"Gleasonburgh, Barry Highway 478"
20.01.2022,20:44:00,2391959113930515,XZE-354,Self-service charge station,5,"1,9",EUR,Cyprus,CY,"East Linaborough, Crona Roads 81112"
11.06.2022,17:19:33,4539331124251167,XZE-354,95 Miles,"54,06","116,23",EUR,Cyprus,CY,"New Sheaburgh, Schmeler Shore 239"
27.07.2021,07:56:46,4556942864486967,OXZ-034,Extra premium CNG,"81,29","83,73",EUR,Finland,FI,"New Albertaland, Steuber Fort 137"
19.04.2022,22:30:06,4556942864486967,JR-2222,Extra premium CNG,"40,07","41,67",EUR,Estonia,EE,"Lake Anamouth, Carmela Center 629"
18.06.2022,10:17:06,2391959113930515,UTM-020,95 Miles,"21,03","44,37",EUR,Greece,GR,"Dangelostad, Itzel Springs 78269"
26.09.2021,00:23:09,4539331124251167,ML-8196,Premium Diesel,"59,61","610,34",RON,Romania,RO,"Mazieland, Ritchie Ranch 19464"
15.07.2021,02:40:58,4556942864486967,KE-830,98E0 milesPLUS,"43,2","85,54",EUR,Cyprus,CY,"Isadoremouth, Schaden Crest 6191"
12.12.2021,05:24:36,4716537084153764,XZE-354,Super Plus 98,"38,25","79,18",EUR,Luxembourg,LU,"New Bentonport, Goldner Mission 6792"
02.04.2022,23:03:52,4916306836418778,KE-830,Super Plus 98,"58,97","110,86",EUR,Luxembourg,LU,"Tiahaven, Kiehn Knoll 9060"
25.07.2021,15:28:37,4716537084153764,KE-830,95 Miles,"13,88","27,2",EUR,Slovenia,SI,"Lake Jess, Hamill Club 878"
22.01.2022,06:35:05,4556942864486967,UTM-020,Electricity,25,"10,25",EUR,Italy,IT,"Mathiastown, Brannon Trafficway 1301"
28.01.2022,11:07:58,4916306836418778,EX-2896,Charging,13,"61,17",SEK,Sweden,SE,"Rickiefort, Kim Circles 6542"
28.01.2022,00:05:21,4716589087524,XZE-354,98E0 milesPLUS,"5,69","23,37",BGN,Bulgaria,BG,"North Lennie, Andrew Brooks 5584"
31.07.2021,08:13:52,4716537084153764,OXZ-034,Self-service charge station,28,"11,76",EUR,Spain,ES,"Mosciskihaven, Lamont Parkway 407"
17.01.2022,06:42:25,5410117612464722,EV-3964,95 Miles,"34,54","525,34",HRK,Croatia,HR,"Lake Esteban, Clark Route 65372"
08.08.2021,20:47:20,5410117612464722,OXZ-034,Self-service charge station,12,"5,16",EUR,Finland,FI,"West Raul, Taylor Gardens 5839"
12.04.2022,00:39:55,5410117612464722,UTM-020,95 Miles,"14,65","30,18",EUR,Ireland,IE,"North Elfrieda, Ward Meadows 674"
29.06.2021,08:42:43,4916306836418778,OXZ-034,CNG,"15,95","16,43",EUR,France,FR,"Lake Edgardo, Nayeli Lock 40952"
09.04.2022,21:35:06,5394032774452136,KE-830,E95,"54,68","2772,2",CZK,Czech Republic,CZ,"East Eastonside, Tyrese Locks 62945"
08.06.2022,07:06:27,5410117612464722,KA-6963,D Miles,"48,39","97,75",EUR,Latvia,LV,"Melisachester, Schmitt River 314"
23.06.2022,18:52:09,5394032774452136,KA-6963,Diesel,"36,74","67,97",EUR,France,FR,"South Keenan, Katrine Divide 684"
23.02.2022,05:46:44,4887895152923325,KF-8571,Licence fee,1,"39,01",EUR,Malta,MT,"Marlenfurt, Rachelle Springs 4542"
08.05.2022,00:21:54,4716537084153764,KE-830,95 Miles,"5,19","274,68",CZK,Czech Republic,CZ,"Kirstinstad, Ernser Road 799"
29.10.2021,20:53:37,4716589087524,UTM-020,Licence fee,1,"167,24",BGN,Bulgaria,BG,"North Jerald, Daphne Meadow 153"
24.09.2021,23:08:32,4716537084153764,EV-3964,D Miles,"44,66","85,75",EUR,Slovakia,SK,"North Samanthamouth, Wehner Island 74596"
12.07.2021,00:02:31,5410117612464722,KF-8571,Premium Diesel,"53,04","107,67",EUR,France,FR,"Cruzview, Bogan Grove 106"
18.07.2021,02:26:12,4539331124251167,KE-830,FUTURA 95,"32,25","67,08",EUR,Germany,DE,"East Lucienne, Ankunding Harbor 5994"
07.05.2022,09:57:12,4716537084153764,KA-6963,Diesel,"8,18","16,44",EUR,Belgium,BE,"East Christy, Bertrand Trafficway 31237"
19.06.2022,03:08:03,4887895152923325,EV-3964,Service fee,1,"197,61",EUR,Greece,GR,"Dickichester, Zieme Row 16836"
29.08.2021,14:57:30,4916637234582249,EV-3964,Licence fee,1,"66293,34",HUF,Hungary,HU,"New Ashlyview, Maybell Canyon 24564"
18.05.2022,13:31:27,2391959113930515,XZE-354,Service fee,1,"51,42",EUR,Italy,IT,"Shanahanville, Victor Extensions 75714"
22.01.2022,01:25:15,4539331124251167,KF-8571,Diesel,"17,14","34,97",EUR,Latvia,LV,"West Kaycee, Josiane Glen 410"
11.08.2021,10:14:42,2391959113930515,JR-2222,BIOCNG,"12,04","87,94",HRK,Croatia,HR,"West Margotmouth, Sven Viaduct 2601"
09.07.2021,19:42:44,4539331124251167,KE-830,FUTURA 95,"47,4","95,75",EUR,Portugal,PT,"South Edwin, Ellis Camp 9308"
20.03.2022,00:48:03,4716537084153764,KA-6963,D Miles,"35,73","71,46",EUR,Lithuania,LT,"Stokesstad, Fabian Dam 70723"
07.03.2022,05:21:59,4539331124251167,KE-830,FUTURA 95,"51,53","105,64",EUR,Slovenia,SI,"Port Rosashire, Roob Place 9638"
16.09.2021,11:52:12,5410117612464722,ML-8196,Diesel,"59,28","1185,47",SEK,Sweden,SE,"Blandamouth, Leffler Forge 121"
18.04.2022,20:45:02,4916637234582249,EV-3964,Super Plus 98,"52,63","107,89",EUR,France,FR,"Nedrafurt, Claudine Summit 22436"
25.01.2022,12:48:59,4556942864486967,KA-6963,D Miles,"58,06","110,31",EUR,Germany,DE,"Agustinafurt, Modesto Roads 2686"
09.05.2022,06:10:15,4887895152923325,UTM-020,D Miles,"27,65","54,47",EUR,Netherlands,NL,"Lake Cletaborough, Armstrong Drives 614"
07.07.2021,10:28:41,4716537084153764,UTM-020,Service fee,1,"186,09",EUR,Cyprus,CY,"Kierashire, Lehner Ridges 73450"
20.09.2021,08:20:16,4916637234582249,KA-6963,Diesel,"35,17","1565,62",CZK,Czech Republic,CZ,"Joaquintown, Pacocha Falls 7540"
27.01.2022,13:45:54,4556942864486967,UTM-020,Charging,22,"8,58",EUR,Estonia,EE,"Lake Lisa, Gutkowski Tunnel 43265"
08.02.2022,19:52:48,4539331124251167,UTM-020,95 Miles,"6,53","13,91",EUR,Latvia,LV,"West Vivianmouth, Austin Stream 6535"
30.05.2022,00:14:53,2391959113930515,KE-830,FUTURA 95,"29,19","57,21",EUR,Lithuania,LT,"Lake Kaylastad, Minerva Road 589"
17.01.2022,16:10:24,2391959113930515,EX-2896,AdBlue,1,"337,79",BGN,Bulgaria,BG,"East Eulamouth, Hermiston Bypass 847"
13.07.2021,01:54:30,4887895152923325,UTM-020,Electricity,33,"13,86",EUR,Lithuania,LT,"Aliviahaven, Mylene Drives 99327"
21.03.2022,09:36:03,4716537084153764,KE-830,95 Miles,"50,82","489,89",PLN,Poland,PL,"South Clemens, Willard Fall 178"
31.03.2022,14:23:54,5394032774452136,JR-2222,CNG,"54,91","57,66",EUR,Lithuania,LT,"Sabinaview, Kavon Course 1891"
22.06.2022,21:19:59,5394032774452136,EV-3964,E98,"43,96","454,45",RON,Romania,RO,"Roxaneport, Alba Drive 7351"
01.09.2021,01:03:51,4916306836418778,KE-830,98E0 milesPLUS,"34,09","546,73",HRK,Croatia,HR,"Alvabury, Schimmel Cove 97802"
09.11.2021,04:46:54,4539331124251167,JR-2222,Extra premium CNG,"10,08","9,88",EUR,Netherlands,NL,"Elliotshire, Hertha Ports 2079"
28.02.2022,07:59:17,4716589087524,OXZ-034,98E0 milesPLUS,"16,6","35,36",EUR,Ireland,IE,"Reichertfurt, Libby Lodge 24730"
17.09.2021,05:50:27,4716537084153764,KE-830,Washing,1,"79,64",RON,Romania,RO,"Trinityberg, Prudence Centers 922"
11.07.2021,05:32:46,4556942864486967,UTM-020,D Miles,"30,2","63,12",EUR,Italy,IT,"Dickihaven, Nicola Flat 2360"
17.04.2022,09:35:58,4916306836418778,OXZ-034,E98,"26,94","55,23",EUR,Malta,MT,"New Jessfort, George Greens 20042"
30.10.2021,19:05:36,4716589087524,EV-3964,Diesel,"35,51","740,5",SEK,Sweden,SE,"Lake Dannymouth, Vito Stream 9809"
07.04.2022,07:57:17,4556942864486967,XZE-354,Diesel,"25,21","52,44",EUR,Finland,FI,"West Elliston, Grant Flats 6264"
02.12.2021,09:42:29,5410117612464722,UTM-020,Extra premium CNG,"76,96","80,04",EUR,Slovakia,SK,"Lynchfort, Reece Ville 94533"
05.01.2022,14:03:12,4916306836418778,KF-8571,D Miles,"16,24","31,67",EUR,Lithuania,LT,"Kihnmouth, Feeney Ridge 6774"
